run,model,train_size,fit_time,predict_time,memory_usage,score_sklearn,score_sql
1,BC,0.1,0.5542442798614502,0.34607696533203125,0,0.6535362578334826,0.6535362578334826
1,LR,0.1,3.12310791015625,0.34207582473754883,5316,0.6338406445837064,0.6338406445837064
1,MNB,0.1,2.786175489425659,0.341076135635376,5060,0.639212175470009,0.639212175470009
1,DT,0.1,0.8037097454071045,1.779111623764038,6825,0.5067144136078783,0.5067144136078783
1,BC,0.2,1.0458803176879883,0.4621100425720215,0,0.6764227642276422,0.6764227642276422
1,LR,0.2,6.12057900428772,0.4497184753417969,6388,0.6617886178861788,0.6617886178861788
1,MNB,0.2,5.3057496547698975,0.4471011161804199,6127,0.656910569105691,0.656910569105691
1,DT,0.2,1.8050878047943115,2.7540128231048584,9239,0.583739837398374,0.583739837398374
1,BC,0.3,1.5550107955932617,0.5927906036376953,0,0.667699457784663,0.667699457784663
1,LR,0.3,8.953746318817139,0.5583508014678955,7363,0.6576297443841983,0.6576297443841983
1,MNB,0.3,7.4282567501068115,0.5521233081817627,7099,0.6537567776917118,0.6537567776917118
1,DT,0.3,2.9016082286834717,3.6338107585906982,12096,0.6289697908597986,0.6289697908597986
1,BC,0.4,1.9853136539459229,0.6874411106109619,0,0.6982429335370511,0.6982429335370511
1,LR,0.4,11.469015836715698,0.6537446975708008,7656,0.6814362108479756,0.6814362108479756
1,MNB,0.4,9.671955823898315,0.6531457901000977,7391,0.6837280366692131,0.6837280366692131
1,DT,0.4,4.030801057815552,4.4530029296875,12837,0.6501145912910619,0.6501145912910619
1,BC,0.5,2.443882703781128,0.9122238159179688,0,0.7078651685393258,0.7078651685393258
1,LR,0.5,14.574498414993286,0.7971880435943604,7955,0.6921348314606741,0.6921348314606741
1,MNB,0.5,12.296500205993652,0.7806839942932129,7689,0.6906367041198502,0.6906367041198502
1,DT,0.5,5.507342576980591,5.268430709838867,11874,0.6816479400749064,0.6816479400749064
1,BC,0.6,2.9978013038635254,0.8951897621154785,0,0.7232142857142857,0.7232142857142857
1,LR,0.6,17.73009967803955,0.7642090320587158,8964,0.7075892857142857,0.7075892857142857
1,MNB,0.6,14.564147472381592,0.7341773509979248,8698,0.7016369047619048,0.7016369047619048
1,DT,0.6,7.025405406951904,5.838580131530762,14413,0.6867559523809523,0.6867559523809523
1,BC,0.7,3.5128705501556396,1.0304291248321533,0,0.7222635889798957,0.7222635889798957
1,LR,0.7,20.69048762321472,0.8311998844146729,9326,0.7155621742367834,0.7155621742367834
1,MNB,0.7,17.178751230239868,0.8136582374572754,9060,0.691734921816828,0.691734921816828
1,DT,0.7,8.048151969909668,6.093512773513794,15241,0.723752792256143,0.723752792256143
1,BC,0.8,4.1004228591918945,1.1785523891448975,0,0.7373440939104916,0.7373440939104916
1,LR,0.8,24.071417331695557,0.887714147567749,9618,0.7322083639031548,0.7322083639031548
1,MNB,0.8,18.784532070159912,0.8686084747314453,9351,0.7153338224504769,0.7153338224504769
1,DT,0.8,9.66054081916809,6.891584157943726,15907,0.7380777696258254,0.7380777696258254
1,BC,0.9,4.437927484512329,1.215280294418335,0,0.7415316642120766,0.7415316642120766
1,LR,0.9,26.244169235229492,0.9592227935791016,9873,0.7466863033873343,0.7466863033873343
1,MNB,0.9,20.97930359840393,1.0312280654907227,9606,0.7142857142857143,0.7142857142857143
1,DT,0.9,12.184091091156006,7.275026321411133,16544,0.7334315169366715,0.7334315169366715
1,BC,1.0,4.811709403991699,1.4002861976623535,0,0.743421052631579,0.7426900584795322
1,LR,1.0,29.00515079498291,1.1664843559265137,10271,0.7397660818713451,0.7397660818713451
1,MNB,1.0,22.92468523979187,1.0752766132354736,10004,0.7149122807017544,0.7149122807017544
1,DT,1.0,12.429725646972656,7.948037147521973,17535,0.7551169590643275,0.7551169590643275
