run,model,train_size,fit_time,predict_time,memory_usage,score_sklearn,score_sql
1,BC,0.1,0.5645225048065186,0.10846734046936035,0,0.6580817051509769,0.6580817051509769
1,BC_sql,0.1,0.11051225662231445,0.10586428642272949,0,0.6580817051509769,0.6580817051509769
1,LR,0.1,3.1214420795440674,0.22004914283752441,8063,0.6376554174067496,0.6376554174067496
1,MNB,0.1,2.7584164142608643,0.22104954719543457,7587,0.655417406749556,0.655417406749556
1,DT,0.1,0.7480530738830566,9.77733564376831,4598,0.5248667850799289,0.5248667850799289
1,BC,0.2,1.0977697372436523,0.14203262329101562,0,0.6859235150528885,0.6859235150528885
1,BC_sql,0.2,0.2135617733001709,0.13982129096984863,0,0.6859235150528885,0.6859235150528885
1,LR,0.2,6.27988862991333,0.09702134132385254,4419,0.6387306753458096,0.6387306753458096
1,MNB,0.2,5.4162092208862305,0.09002137184143066,4158,0.6753458096013019,0.6753458096013019
1,DT,0.2,1.8955490589141846,12.360458850860596,4703,0.628966639544345,0.628966639544345
1,BC,0.3,1.5501441955566406,0.1780529022216797,0,0.7106084243369735,0.7106084243369735
1,BC_sql,0.3,0.3239929676055908,0.18144559860229492,0,0.7106084243369735,0.7106084243369735
1,LR,0.3,9.370016813278198,0.09902262687683105,4439,0.7090483619344774,0.7090483619344774
1,MNB,0.3,7.815366983413696,0.09003257751464844,4175,0.7020280811232449,0.7020280811232449
1,DT,0.3,2.983549118041992,15.013716220855713,4809,0.6700468018720749,0.6700468018720749
1,BC,0.4,2.000577211380005,0.21004819869995117,0,0.7295019157088123,0.7295019157088123
1,BC_sql,0.4,0.44188833236694336,0.21266889572143555,0,0.7295019157088123,0.7295019157088123
1,LR,0.4,11.704272031784058,0.09903621673583984,4448,0.7241379310344828,0.7241379310344828
1,MNB,0.4,9.786576271057129,0.09302067756652832,4183,0.7103448275862069,0.7103448275862069
1,DT,0.4,3.9995174407958984,15.978647708892822,6598,0.6942528735632184,0.6942528735632184
1,BC,0.5,2.539426326751709,0.252063512802124,0,0.7272727272727273,0.7272727272727273
1,BC_sql,0.5,0.6330113410949707,0.24289512634277344,0,0.7272727272727273,0.7272727272727273
1,LR,0.5,14.147367715835571,0.10202217102050781,4453,0.7378787878787879,0.7378787878787879
1,MNB,0.5,11.944048166275024,0.09902262687683105,4188,0.7098484848484848,0.7098484848484848
1,DT,0.5,5.250839948654175,17.12113666534424,7144,0.7113636363636363,0.7113636363636363
1,BC,0.6,3.1129400730133057,0.2936246395111084,0,0.7259036144578314,0.7259036144578314
1,BC_sql,0.6,0.7878668308258057,0.32412219047546387,0,0.7259036144578314,0.7259036144578314
1,LR,0.6,17.514366388320923,0.1090245246887207,4456,0.7274096385542169,0.7274096385542169
1,MNB,0.6,14.453768253326416,0.10402297973632812,4190,0.7003012048192772,0.7003012048192772
1,DT,0.6,6.833263158798218,17.045422554016113,3854,0.7274096385542169,0.7274096385542169
1,BC,0.7,3.448920965194702,0.3270730972290039,0,0.746268656716418,0.746268656716418
1,BC_sql,0.7,1.0627381801605225,0.4382810592651367,0,0.746268656716418,0.746268656716418
1,LR,0.7,20.016529083251953,0.1110377311706543,4460,0.741044776119403,0.741044776119403
1,MNB,0.7,16.54025363922119,0.10602402687072754,4194,0.7246268656716418,0.7246268656716418
1,DT,0.7,8.315386772155762,16.072917699813843,7123,0.744776119402985,0.744776119402985
1,BC,0.8,3.7608354091644287,0.41009020805358887,0,0.7587230883444692,0.7587230883444692
1,BC_sql,0.8,1.1772756576538086,0.4801158905029297,0,0.7587230883444692,0.7587230883444692
1,LR,0.8,21.881376266479492,0.11525082588195801,4462,0.7520415738678545,0.7520415738678545
1,MNB,0.8,18.38563632965088,0.11003613471984863,4196,0.7260579064587973,0.7260579064587973
1,DT,0.8,9.649950504302979,16.36510396003723,7225,0.7431328878990349,0.7431328878990349
1,BC,0.9,4.282194137573242,0.4316098690032959,0,0.7635285396590067,0.7635285396590067
1,BC_sql,0.9,1.3152940273284912,0.515408992767334,0,0.7635285396590067,0.7635285396590067
1,LR,0.9,24.639058351516724,0.11702656745910645,4463,0.7538917716827279,0.7538917716827279
1,MNB,0.9,21.08435845375061,0.1180269718170166,4197,0.7383246849518161,0.7383246849518161
1,DT,0.9,11.519696235656738,17.530975103378296,7329,0.7575982209043736,0.7575982209043736
1,BC,1.0,4.821115016937256,0.5731368064880371,0,0.7740029542097489,0.7732644017725259
1,BC_sql,1.0,1.3101165294647217,0.43511176109313965,0,0.7740029542097489,0.7740029542097489
1,LR,1.0,27.16200590133667,0.12102699279785156,4466,0.758493353028065,0.758493353028065
1,MNB,1.0,22.479982376098633,0.11780357360839844,4199,0.7444608567208272,0.7444608567208272
1,DT,1.0,12.569421529769897,18.416948795318604,7404,0.757754800590842,0.757754800590842
2,BC,0.1,0.5258185863494873,0.11102461814880371,0,0.6537037037037037,0.6537037037037037
2,BC_sql,0.1,0.18504118919372559,0.10553979873657227,0,0.6537037037037037,0.6537037037037037
2,LR,0.1,3.0711452960968018,0.23305177688598633,8031,0.6138888888888889,0.6138888888888889
2,MNB,0.1,2.7757081985473633,0.21404814720153809,7558,0.6416666666666667,0.6416666666666667
2,DT,0.1,0.7763700485229492,10.591769695281982,4737,0.5509259259259259,0.5509259259259259
2,BC,0.2,1.0789458751678467,0.16203856468200684,0,0.6821895424836601,0.6821895424836601
2,BC_sql,0.2,0.3036060333251953,0.14378857612609863,0,0.6821895424836601,0.6821895424836601
2,LR,0.2,6.2262067794799805,0.0980217456817627,4417,0.6650326797385621,0.6650326797385621
